state,abbreviation,url
"Alabama","AL","https://www.nps.gov/state/al/index.htm"
"Alaska","AK","https://www.nps.gov/state/ak/index.htm"
"American Samoa","AS","https://www.nps.gov/state/as/index.htm"
"Arizona","AZ","https://www.nps.gov/state/az/index.htm"
"Arkansas","AR","https://www.nps.gov/state/ar/index.htm"
"California","CA","https://www.nps.gov/state/ca/index.htm"
"Colorado","CO","https://www.nps.gov/state/co/index.htm"
"Connecticut","CT","https://www.nps.gov/state/ct/index.htm"
"Delaware","DE","https://www.nps.gov/state/de/index.htm"
"District of Columbia","DC","https://www.nps.gov/state/dc/index.htm"
"Florida","FL","https://www.nps.gov/state/fl/index.htm"
"Georgia","GA","https://www.nps.gov/state/ga/index.htm"
"Guam","GU","https://www.nps.gov/state/gu/index.htm"
"Hawaii","HI","https://www.nps.gov/state/hi/index.htm"
"Idaho","ID","https://www.nps.gov/state/id/index.htm"
"Illinois","IL","https://www.nps.gov/state/il/index.htm"
"Indiana","IN","https://www.nps.gov/state/in/index.htm"
"Iowa","IA","https://www.nps.gov/state/ia/index.htm"
"Kansas","KS","https://www.nps.gov/state/ks/index.htm"
"Kentucky","KY","https://www.nps.gov/state/ky/index.htm"
"Louisiana","LA","https://www.nps.gov/state/la/index.htm"
"Maine","ME","https://www.nps.gov/state/me/index.htm"
"Maryland","MD","https://www.nps.gov/state/md/index.htm"
"Massachusetts","MA","https://www.nps.gov/state/ma/index.htm"
"Michigan","MI","https://www.nps.gov/state/mi/index.htm"
"Minnesota","MN","https://www.nps.gov/state/mn/index.htm"
"Mississippi","MS","https://www.nps.gov/state/ms/index.htm"
"Missouri","MO","https://www.nps.gov/state/mo/index.htm"
"Montana","MT","https://www.nps.gov/state/mt/index.htm"
"Nebraska","NE","https://www.nps.gov/state/ne/index.htm"
"Nevada","NV","https://www.nps.gov/state/nv/index.htm"
"New Hampshire","NH","https://www.nps.gov/state/nh/index.htm"
"New Jersey","NJ","https://www.nps.gov/state/nj/index.htm"
"New Mexico","NM","https://www.nps.gov/state/nm/index.htm"
"New York","NY","https://www.nps.gov/state/ny/index.htm"
"North Carolina","NC","https://www.nps.gov/state/nc/index.htm"
"North Dakota","ND","https://www.nps.gov/state/nd/index.htm"
"Northern Mariana Islands","MP","https://www.nps.gov/state/mp/index.htm"
"Ohio","OH","https://www.nps.gov/state/oh/index.htm"
"Oklahoma","OK","https://www.nps.gov/state/ok/index.htm"
"Oregon","OR","https://www.nps.gov/state/or/index.htm"
"Pennsylvania","PA","https://www.nps.gov/state/pa/index.htm"
"Puerto Rico","PR","https://www.nps.gov/state/pr/index.htm"
"Rhode Island","RI","https://www.nps.gov/state/ri/index.htm"
"South Carolina","SC","https://www.nps.gov/state/sc/index.htm"
"South Dakota","SD","https://www.nps.gov/state/sd/index.htm"
"Tennessee","TN","https://www.nps.gov/state/tn/index.htm"
"Texas","TX","https://www.nps.gov/state/tx/index.htm"
"Utah","UT","https://www.nps.gov/state/ut/index.htm"
"Vermont","VT","https://www.nps.gov/state/vt/index.htm"
"Virgin Islands","VI","https://www.nps.gov/state/vi/index.htm"
"Virginia","VA","https://www.nps.gov/state/va/index.htm"
"Washington","WA","https://www.nps.gov/state/wa/index.htm"
"West Virginia","WV","https://www.nps.gov/state/wv/index.htm"
"Wisconsin","WI","https://www.nps.gov/state/wi/index.htm"
"Wyoming","WY","https://www.nps.gov/state/wy/index.htm"
